1	0	0	0	0	2	0	0	1	0	1	0
1	1	0	1	0	1	0	0	0	0	0	0
1	11	0	0	5	1	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	5	0
3	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0
4	3	0	0	5	0	0	0	1	0	1	0
0	0	0	0	2	0	0	0	0	0	6	0
1	1	0	0	1	1	0	0	1	0	1	0
6	0	0	0	1	1	0	0	1	0	2	0
0	0	7	0	1	0	6	1	0	2	0	1
0	0	7	0	1	0	6	1	0	2	0	1
0	0	4	1	2	0	3	1	0	2	0	0
0	0	0	0	0	0	0	1	0	7	1	1
0	0	0	3	1	0	0	6	0	8	0	1
0	0	2	1	4	0	1	1	0	2	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	5	1	0	0	4	0	1	0	0
0	0	0	2	1	0	0	1	0	0	0	0
0	1	0	1	1	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	1	0	2	0
3	0	0	0	0	0	0	0	1	0	2	0
3	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	6	0
1	1	0	1	0	1	0	0	0	0	0	0
1	0	0	0	0	2	0	0	1	0	1	0
1	12	0	0	6	1	0	0	0	0	0	0
1	1	0	0	1	1	0	0	1	0	1	0
1	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	2	0	0	0	0	0	6	0
1	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	1	1	0	0	1	0	2	0
2	0	0	0	0	0	0	0	0	0	0	0
5	3	0	0	5	0	0	0	1	0	1	0
0	0	2	15	0	0	1	5	0	0	0	2
0	0	0	0	0	0	0	0	0	2	0	0
0	0	0	7	0	0	0	3	0	5	0	3
2	0	0	0	1	1	0	0	0	0	3	0
1	0	0	0	0	1	0	0	0	0	0	0
2	0	0	0	1	1	0	0	0	0	3	0
1	0	0	0	0	1	0	0	0	0	0	0
0	0	0	19	1	0	0	1	0	0	0	0
2	1	0	0	0	2	0	0	1	0	1	0
0	0	0	0	0	3	0	0	1	0	0	0
0	0	0	0	2	1	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	1	0	0	0	0	0	1	0
0	0	0	4	2	0	0	1	0	0	0	1
