0	0	1	0	0	1	0	11	13	11	11	11	0	0
0	0	1	0	0	1	0	10	11	10	10	10	0	0
0	0	0	0	0	0	0	2	1	0	0	0	0	0
1	1	1	0	0	2	0	15	13	11	11	11	1	1
1	0	1	0	0	1	0	6	6	5	5	6	0	0
0	0	0	0	0	3	0	5	4	2	2	2	0	0
3	0	0	0	0	1	1	19	17	17	17	17	1	0
0	1	0	0	0	2	0	11	13	11	11	11	0	0
3	0	1	0	1	1	1	8	9	8	8	9	0	2
0	0	0	0	0	0	0	6	7	5	5	5	0	0
0	0	0	0	0	1	0	3	4	2	2	2	0	0
1	0	0	0	0	1	0	6	7	5	5	5	0	0
2	0	0	1	0	2	1	4	4	3	3	3	0	0
0	0	0	0	0	1	0	4	6	2	2	2	0	0
0	1	0	0	0	2	0	11	13	11	11	11	0	0
0	0	0	0	0	4	0	9	11	8	8	8	0	0
0	0	0	0	0	1	0	7	6	6	6	6	0	0
1	0	0	0	0	5	0	14	16	9	9	9	0	0
2	2	2	3	1	3	2	11	13	11	11	11	1	1
0	0	0	0	0	2	0	5	5	4	3	3	0	0
2	0	0	0	0	0	0	15	14	11	11	11	0	0
1	0	0	0	0	3	1	10	11	8	8	8	0	0
0	0	0	1	0	0	0	3	6	4	4	4	0	0
1	0	0	0	0	2	1	8	12	8	8	8	0	0
2	0	0	0	0	2	1	6	9	6	6	6	0	0
2	0	0	0	0	4	1	8	11	8	8	8	0	0
1	0	1	0	0	1	0	11	12	11	11	11	0	0
0	0	0	0	0	1	0	3	3	2	2	2	0	0
0	1	0	0	0	0	1	4	5	4	4	4	7	0
0	1	0	0	0	0	1	6	5	4	4	4	8	0
2	0	0	0	0	4	1	8	11	8	8	8	0	0
1	0	0	0	1	1	1	8	10	8	8	9	0	1
0	0	1	0	0	1	0	9	11	9	9	9	0	0
0	2	1	1	1	0	2	8	8	7	7	7	4	1
13	1	1	1	0	2	0	7	10	7	7	7	0	0
1	0	0	0	0	4	0	6	7	5	5	5	0	0
2	0	0	0	1	1	2	8	8	7	7	7	6	1
1	2	1	1	1	0	2	10	10	9	9	9	4	1
2	0	0	1	0	2	1	14	15	12	12	12	0	0
0	1	3	1	0	2	1	8	10	8	8	8	1	0
2	0	0	0	0	3	1	9	12	9	9	9	0	0
0	0	0	0	6	0	10	0	0	0	0	0	0	12
0	0	4	0	0	0	0	0	0	0	0	0	0	0
0	2	3	2	0	0	0	0	0	0	0	0	0	0
0	2	3	2	0	0	0	0	0	0	0	0	0	0
0	3	4	3	0	0	0	0	0	0	0	0	0	0
0	1	2	1	5	2	6	3	3	2	2	2	1	5
0	1	4	1	8	3	9	0	1	0	0	0	2	6
0	0	3	0	5	1	6	3	3	3	3	3	2	2
0	0	0	0	11	0	14	0	0	0	0	0	0	16
1	0	1	0	3	1	4	3	3	1	1	1	2	3
0	7	9	7	0	0	0	0	0	0	0	0	0	0
2	1	1	2	0	1	1	4	5	4	4	4	1	0
0	0	0	0	0	3	0	8	7	2	2	2	0	0
2	1	1	2	1	1	2	7	8	7	7	7	1	1
1	0	0	1	0	1	0	0	1	0	0	0	0	0
2	0	0	1	0	1	0	7	8	7	7	7	0	0
0	0	0	0	0	0	0	4	4	3	3	3	0	0
0	7	6	6	0	5	0	17	18	17	17	17	1	0
0	1	0	0	0	2	1	9	10	9	9	9	11	0
0	2	1	1	0	2	1	8	14	8	8	8	4	0
0	0	0	0	0	0	1	3	5	3	3	3	4	0
15	0	0	0	1	0	2	1	4	1	1	1	2	1
6	0	0	0	0	0	1	3	4	3	3	3	1	0
7	0	0	0	0	0	0	1	2	1	2	1	0	0
13	0	0	0	3	3	3	3	3	2	2	2	1	3
5	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	0	0	0	0	0	0	1	0	0	0	0	0
0	0	0	0	1	0	3	0	1	0	0	0	0	1
1	0	0	0	5	1	6	3	4	3	3	3	0	5
1	0	0	0	2	1	3	3	4	3	3	3	0	2
13	0	0	0	0	0	0	1	1	1	1	1	0	0
1	0	0	0	0	1	0	3	4	3	3	3	0	0
0	0	0	0	2	0	3	1	2	1	1	1	0	2
