0	0	1	5	0	1	5	1	0	0	0
0	0	0	1	0	0	0	0	0	0	0
0	0	0	1	0	0	7	0	0	0	0
0	0	0	0	0	1	0	0	0	0	0
1	1	2	0	1	2	1	0	0	0	4
1	1	4	0	1	11	2	0	0	1	0
0	0	0	0	0	0	0	0	1	0	0
0	1	1	5	0	1	19	2	6	0	0
0	1	0	3	0	0	6	0	5	0	0
0	0	1	0	0	4	0	0	0	1	0
1	0	0	0	0	4	0	0	0	2	0
0	0	0	1	0	0	3	0	1	0	0
0	1	0	1	0	0	2	0	1	0	0
0	0	0	1	0	0	10	0	9	0	0
7	7	15	0	7	7	0	0	0	3	0
0	1	0	0	1	0	14	0	0	0	0
0	0	0	2	0	0	2	0	0	0	0
0	0	1	2	0	1	2	0	0	0	0
0	0	0	4	0	0	0	4	1	0	0
0	0	1	0	0	1	1	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
4	4	10	0	4	1	0	0	0	0	0
0	0	0	0	0	1	8	0	0	0	0
1	1	3	0	1	3	0	0	0	4	0
0	0	0	3	0	0	0	0	0	0	0
0	0	0	1	0	1	4	0	0	0	0
0	0	0	0	0	1	3	0	0	0	2
0	0	0	0	0	0	1	0	1	0	3
0	1	1	2	0	0	10	1	4	0	0
0	0	0	3	0	0	2	0	0	0	0
1	1	3	0	1	1	3	0	0	0	0
0	0	1	0	0	3	0	0	0	1	0
0	0	0	0	0	1	1	0	0	0	19
0	0	0	0	0	0	4	0	1	0	0
0	0	0	2	0	0	0	0	1	0	0
0	0	0	2	0	0	2	0	0	0	0
0	0	0	3	0	0	0	0	4	0	0
2	1	4	0	1	3	0	0	0	1	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	7	0	0	2	0	0	0	0
2	2	0	1	0	2	15	5	3	0	0
0	0	0	1	0	0	1	1	0	0	0
0	0	0	0	0	6	0	0	0	17	0
0	0	1	0	0	1	0	0	0	1	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	3	1	0	0	0	0
0	0	1	0	0	1	0	0	0	1	0
2	2	5	0	2	0	0	0	0	0	0
1	1	3	0	1	6	0	0	0	1	0
0	0	0	2	0	0	2	0	1	0	0
0	0	0	0	0	8	0	0	0	2	0
0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	2	0
23	23	46	0	22	4	2	0	0	1	0
0	0	0	2	0	0	2	0	1	0	0
0	0	0	1	0	0	0	0	0	0	0
0	0	0	4	0	0	8	0	1	0	0
0	0	1	0	0	0	12	2	4	0	0
0	2	0	1	0	0	2	0	0	0	0
0	0	0	0	0	1	1	0	0	0	0
0	0	1	4	0	2	2	0	0	0	0
6	6	13	0	6	6	0	2	0	3	0
0	0	0	2	0	1	3	5	0	0	0
0	0	0	1	0	0	2	1	1	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	4	0	0	0	0
0	0	0	0	0	0	3	0	1	0	0
0	0	0	4	0	0	13	1	4	0	0
0	0	1	0	0	0	0	0	0	0	0
0	0	1	0	0	1	0	0	0	0	0
0	0	0	1	0	6	2	0	1	2	0
0	0	0	1	0	0	9	1	3	0	0
1	0	0	2	0	0	17	4	1	0	0
0	0	1	0	0	1	0	0	0	1	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	2	0	0	0	2	1
1	1	2	1	1	7	1	1	0	6	0
